scenario,champion,threshold,test_roc_auc,test_pr_auc,test_recall,test_specificity,test_precision,test_npv,test_f1,test_accuracy
pre_diagnostic,Random Forest,0.22988068091503486,0.8642519236249645,0.6505802308770849,0.9172413793103448,0.6198347107438017,0.36639118457300274,0.9689922480620154,0.5236220472440944,0.6773333333333333
diagnostic_assessment,Random Forest,0.4314526737352825,0.9829210601310916,0.9520877670178544,0.9482758620689655,0.9256198347107438,0.7534246575342466,0.986784140969163,0.8396946564885496,0.93
